posisi,tautan,perusahaan,lokasi,pengalaman,keterampilan,combined_features,KMeans_Word2Vec_Labels,DBSCAN_Word2Vec_Labels,KMeans_FastText_Labels,DBSCAN_FastText_Labels
SO Refinancing - Jakarta,https://www.kitalulus.com/lowongan/detail/sales-officer-refinancing-vaq9,PT Padma Raharja Sentosa,"Jakarta Selatan, DKI Jakarta",ketentuan,keterampilan penjualan,ketentuan keterampilan penjualan,2,16,2,16
COLLECTOR,https://www.kitalulus.com/lowongan/detail/collector-vnma,Duta Elektronik,"Kota Palembang, Sumatra Selatan",minim 1,animasi 2,minim 1 animasi 2,1,17,1,17
Supervisor Cleaning Service (Kota Semarang),https://www.kitalulus.com/lowongan/detail/supervisor-cleaning-service-kota-semarang-bbyg,PT Dana Purna Investama,"Kota Semarang, Jawa Tengah",minim 2,orientasi detail keterampilan komunikasi verbal,minim 2 orientasi detail keterampilan komunikasi verbal,1,18,0,18
Stock Controll Administrator,https://www.kitalulus.com/lowongan/detail/stock-controll-administrator-qqyf,PT  Yongwang electronics indonesia,"Jakarta Barat, DKI Jakarta",minim 1,akurasi kompilasi dokumen administratif manajemen administrasi analisi berkomunikasi bahasa inggri kompilasi data kontrol dokumen arsip elektronik kontrol dokumen elektronik input dokumen elektronik kompilasi berka kompilasi informasi arsip manual ketelitian penyimpanan data arsip fisik,minim 1 akurasi kompilasi dokumen administratif manajemen administrasi analisi berkomunikasi bahasa inggri kompilasi data kontrol dokumen arsip elektronik kontrol dokumen elektronik input dokumen elektronik kompilasi berka kompilasi informasi arsip manual ketelitian penyimpanan data arsip fisik,1,19,0,19
Hair Educator Makarizo (Jabodetabek),https://www.kitalulus.com/lowongan/detail/hair-educator-makarizo-jabodetabek-qobq,PT Akasha Wira International,"Jakarta Selatan, DKI Jakarta",minim 1,konsultasi kecantikan perawatan rambut konsultasi perawatan rambut pemilihan gaya rambut,minim 1 konsultasi kecantikan perawatan rambut konsultasi perawatan rambut pemilihan gaya rambut,1,20,2,20
Marketing Coordinator,https://www.kitalulus.com/lowongan/detail/marketing-coordinator-jpg3,EF English First Makassar,"Kota Manado, Sulawesi Utara",minim 1,alat pemasaran digit analisi strategi pemasaran alat pemasaran,minim 1 alat pemasaran digit analisi strategi pemasaran alat pemasaran,1,21,2,21
Agent Data Entry KYC (Sleman),https://www.kitalulus.com/lowongan/detail/agent-data-entry-kyc-sleman-8ew0,Rajawali Berdikari Indonesia,"Kabupaten Sleman, DI Yogyakarta",ketentuan,akurasi mengetik cepat kecepatan mengetik,ketentuan akurasi mengetik cepat kecepatan mengetik,1,22,0,22
Direct Sales Wifi/Area Coordinator BZN Bogor,https://www.kitalulus.com/lowongan/detail/direct-sales-wifiarea-coordinator-bogor-pp6l,PT Duta Generasi Mandiri,"Kabupaten Bogor, Jawa Barat",minim 1,kemampuan beradaptasi kebutuhan penjualan pengembangan penjualan b 2 c,minim 1 kemampuan beradaptasi kebutuhan penjualan pengembangan penjualan b 2 c,1,23,0,23
Sales Marketing Pematang Siantar,https://www.kitalulus.com/lowongan/detail/sales-marketing-siantar-qevw,PT Indonesia Bakery Family,"Kota Pematangsiantar, Sumatra Utara",minim 1,kemampuan menjual,minim 1 kemampuan menjual,1,24,1,24
SALES MARKETING LAHAT,https://www.kitalulus.com/lowongan/detail/sales-marketing-lahat-vo76,PT Indonesia Bakery Family,"Kabupaten Lahat, Sumatra Selatan",minim 1,kemampuan menjual,minim 1 kemampuan menjual,1,24,1,24
Admin Marketplace,https://www.kitalulus.com/lowongan/detail/admin-marketplace-vkih,PT Integritas Dinamika Indonesia,"Kota Surabaya, Jawa Timur",minim 1,manajemen marketplac,minim 1 manajemen marketplac,1,25,1,25
Freelance Resmi (H) WFH Mudah dikerjakan dari Rumah - Yas 4,https://www.kitalulus.com/lowongan/detail/freelance-resmi-kr-wfh-mudah-dikerjakan-dari-rum-bdoh,Freelance MisiSeru - PT Kita Lulus Internasional,"Jakarta Barat, DKI Jakarta",ketentuan,administrasi,ketentuan administrasi,2,2,0,2
Ikuti Freelance Admin (Q) WFH Reward Hingga 25.000 - yas 2,https://www.kitalulus.com/lowongan/detail/ikuti-freelance-admin-q-wfh-reward-hingga-25000-c1wh,Freelance MisiSeru - PT Kita Lulus Internasional,"Kota Surabaya, Jawa Timur",ketentuan,administrasi,ketentuan administrasi,2,2,0,2
